所在縣市,醫院名稱,編號,醫院評鑑結果,教學醫院評鑑結果,醫院評鑑合格效期,教學醫院合格效期,醫院電話,地址
基隆市,衛生福利部基隆醫院,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,02-24292525,基隆市信義區信二路268號
基隆市,長庚醫療財團法人基隆長庚紀念醫院及其情人湖院區,2,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,107/1/1-110/12/31,02-24313131,基隆市安樂區麥金路222號_基金一路208巷200號
臺北市,臺北市立聯合醫院中興院區,1,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,106/1/1-109/12/31,02-25523234,臺北市大同區鄭州路145號
臺北市,臺北市立聯合醫院陽明院區,2,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,106/1/1-109/12/31,02-25523234,臺北市士林區雨聲街105號
臺北市,臺北市立聯合醫院和平婦幼院區及其婦幼院區,3,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,107/1/1-110/12/31,02-23889595_02-25523234,臺北市中正區中華路二段33號_臺北市中正區福州街12號
臺北市,臺北市立聯合醫院仁愛院區,4,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,105/1/1-108/12/31,02-27093600_02-25523234,臺北市大安區仁愛路四段10號
臺北市,臺北市立聯合醫院忠孝院區,5,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,107/1/1-110/12/31,02-27861288,臺北市南港區同德路87號
臺北市,國立台灣大學醫學院附設醫院,6,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-109/12/31,106/1/1-109/12/31,02-23123456,臺北市中正區中山南路7號及8號_常德街1號
臺北市,三軍總醫院松山分院附設民眾診療服務處,7,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,107/1/1-110/12/31,02-27648851,臺北市松山區健康路131號
臺北市,三軍總醫院附設民眾診療服務處及其汀州院區,8,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-109/12/31,106/1/1-109/12/31,02-87923311_02-23659055,臺北市內湖區成功路二段325號_臺北市中正區汀州路3段40號
臺北市,臺北榮民總醫院,9,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-109/12/31,106/1/1-109/12/31,02-28712121,臺北市北投區石牌路二段201號
臺北市,長庚醫療財團法人台北長庚紀念醫院,10,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-109/12/31,106/1/1-109/12/31,02-27135211,臺北市松山區敦化北路199號
臺北市,基督復臨安息日會醫療財團法人臺安醫院,11,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,02-27718151,臺北市松山區八德路二段424_426號
臺北市,國泰醫療財團法人國泰綜合醫院,12,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-109/12/31,106/1/1-109/12/31,02-27082121,臺北市大安區仁愛路四段266巷6號_280號
臺北市,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,13,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-109/12/31,106/1/1-109/12/31,02-25433535,臺北市中山區中山北路二段92號
臺北市,新光醫療財團法人新光吳火獅紀念醫院,14,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-109/12/31,106/1/1-109/12/31,02-28332211,臺北市士林區文昌路95號及士商路51號_51號2樓_51號3樓_51號4樓_51號5樓_51號6樓_51號7樓_53號_55號_57號
臺北市,振興醫療財團法人振興醫院,15,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,106/1/1-109/12/31,02-28264400,臺北市北投區振興街45號
臺北市,醫療財團法人辜公亮基金會和信治癌中心醫院,16,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,107/1/1-110/12/31,02-28970011,臺北市北投區立德路125號
臺北市,臺北醫學大學附設醫院,17,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,104/1/1-107/12/31,02-27372181,臺北市信義區吳興街252號
臺北市,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,18,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-109/12/31,106/1/1-109/12/31,02-29307930,臺北市文山區興隆路三段111號
臺北市,博仁綜合醫院,19,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,106/1/1-109/12/31,02-25786677,臺北市松山區光復北路66-68號
臺北市,西園醫院,20,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,105/1/1-108/12/31,02-23076968,臺北市萬華區西園路二段266-274號_185號_187號_189號
新北市,新北市立聯合醫院及其板橋院區,1,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,105/1/1-108/12/31,02-29829111,新北市三重區新北大道1段3號_板橋區英士路198號
新北市,衛生福利部臺北醫院,2,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,106/1/1-109/12/31,02-22765566,新北市新莊區思源路127號
新北市,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,3,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-109/12/31,106/1/1-109/12/31,02-89667000,新北市板橋區南雅南路二段21號_高爾富路300號
新北市,佛教慈濟醫療財團法人台北慈濟醫院,4,醫院評鑑優等（區域醫院－準醫學中心）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,106/1/1-109/12/31,02-66289779,新北市新店區建國路289號地下1-3樓至地上1-15樓
新北市,行天宮醫療志業醫療財團法人恩主公醫院,5,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,104/1/1-107/12/31,02-26723456,新北市三峽區復興路399號_中山路198號
新北市,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,6,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-109/12/31,106/1/1-109/12/31,02-28094661,新北市淡水區民生路45號_民權路47號B1-7樓
新北市,國泰醫療財團法人汐止國泰綜合醫院,7,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,02-26482121,新北市汐止區建成路59巷2號地下4樓至地上12樓
新北市,天主教耕莘醫療財團法人永和耕莘醫院,8,醫院評鑑優等（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,107/1/1-110/12/31,02-29286060,新北市永和區中興街80號地下1樓至地上7樓_中興街52巷1弄28號地下3樓至地上11樓
新北市,天主教耕莘醫療財團法人耕莘醫院,9,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,107/1/1-110/12/31,02-22193391,新北市新店區中正路362號
新北市,天主教耕莘醫療財團法人耕莘醫院安康院區,9,醫院評鑑優等（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,104/1/1-107/12/31,107/1/1-110/12/31,02-22123066,新北市新店區車子路15號
新北市,衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,10,醫院評鑑優等（區域醫院－準醫學中心）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,106/1/1-109/12/31,02-22490088,新北市中和區中正路291號醫療大樓地下2層至地上12層
桃園市,衛生福利部桃園醫院,1,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,106/1/1-109/12/31,03-3699721,桃園市桃園區中山路1492號
