Column1._id,Column1.服務類別,Column1.機關類別,Column1.機關名稱,Column1.行政區域,Column1.AP編號,Column1.AP廠牌,Column1.AP_MAC,Column1.APIP,Column1.地址,Column1.線路編號,Column1.線路頻寬(M),Column1.經度,Column1.緯度,Column1.熱點類別,Column1.HUBSITE ID,Column1.HUBSITE NAME,Column1.英文地址
1,IH,文化場館,艋舺龍山文創B2基地,萬華區,WH160006,Aruba,24:DE:C6:9C:BE:10,10.114.68.32,臺北市萬華區西園路一段145號B2(萬華堂工藝講堂3號店鋪),,35M/6M,121.49983799999998,25.035937,,,,"B2F., No.145, Sec. 1, Xiyuan Rd., Wanhua Dist., Taipei City, Taiwan"
2,IH,文化場館,艋舺龍山文創B2基地,萬華區,WH160005,Aruba,9C:1C:12:7F:0D:E0,10.114.68.31,臺北市萬華區西園路一段145號B2(龍山寺文史館24號店鋪),,35M/6M,121.500095,25.036045,,,,"B2F., No.145, Sec. 1, Xiyuan Rd., Wanhua Dist., Taipei City, Taiwan"
3,IH,文化場館,艋舺龍山文創B2基地,萬華區,WH160004,Aruba,24:DE:C6:8A:8A:10,10.114.68.30,臺北市萬華區西園路一段145號B2(服務中心側邊13號店鋪),,35M/6M,121.49986899999999,25.03606,,,,"B2F., No.145, Sec. 1, Xiyuan Rd., Wanhua Dist., Taipei City, Taiwan"
4,IH,區民活動中心,博嘉區民活動中心,文山區,DA220029,Aruba,00:24:6C:3D:38:10,10.114.64.101,臺北市文山區木柵路四段157-1號1樓,2939Y052762,16M/3M,121.575449,24.99974,市立圖書館,HB17000023,博嘉區民活動中心,"1F., No.157-1, Sec. 4, Muzha Rd., Wenshan Dist., Taipei City, Taiwan (R.O.C.)"
5,IH,市政機關,第二殯儀館(景仰樓),大安區,DA220028,Aruba,00:24:6C:4C:AA:B0,10.114.71.246,臺北市大安區辛亥路三段330號3樓(第十聽電子輓聯上方),223Y221668,16M/3M,121.553031,25.013756,市立圖書館,HB16000367,第二殯儀館(景仰樓),"3F., No.330, Sec. 3, Xinhai Rd., Da'an Dist., Taipei City, Taiwan (R.O.C.)"
6,IH,市政機關,第二殯儀館(景仰樓),大安區,DA220027,Aruba,00:24:6C:42:9E:B0,10.114.71.245,臺北市大安區辛亥路三段330號2樓(第五廳電子輓聯上方),223Y221667,16M/3M,121.55303,25.013756,市立圖書館,HB16000367,第二殯儀館(景仰樓),"2F., No.330, Sec. 3, Xinhai Rd., Da'an Dist., Taipei City, Taiwan (R.O.C.)"
7,IH,市政機關,第二殯儀館(景仰樓),大安區,DA220026,Aruba,9C:1C:12:7F:34:90,10.114.71.244,臺北市大安區辛亥路三段330號1樓(第二廳電子輓聯上方),223Y221665,16M/3M,121.553031,25.013756,市立圖書館,HB16000367,第二殯儀館(景仰樓),"1F., No.330, Sec. 3, Xinhai Rd., Da'an Dist., Taipei City, Taiwan (R.O.C.)"
8,IH,市政機關,第二殯儀館(景仰樓),大安區,DA220025,Aruba,00:24:6C:02:D4:80,10.114.71.243,臺北市大安區辛亥路三段330號1樓(聯合服務中心旁機櫃上方),223Y220709,16M/3M,121.553031,25.013756,市立圖書館,HB16000367,第二殯儀館(景仰樓),"1F., No.330, Sec. 3, Xinhai Rd., Da'an Dist., Taipei City, Taiwan (R.O.C.)"
9,IH,市政機關,群英里社區關懷據點,大安區,DA220024,Aruba,24:DE:C6:87:DC:30,10.114.64.99,臺北市大安區四維路198巷30弄8號(房間上方),223Y224774,35M/6M,121.546022,25.026522,市立圖書館,HB17000020,群英里社區關懷據點,"No.8, Aly. 30, Lane 198, Siwei Rd., Da'an Dist., Taipei City, Taiwan (R.O.C.)"
10,IH,市政機關,群英里社區關懷據點,大安區,DA220023,Aruba,00:24:6C:4C:E1:00,10.114.64.98,臺北市大安區四維路198巷30弄4號(房間上方),223Y224774,35M/6M,121.545999,25.027335,市立圖書館,HB17000020,群英里社區關懷據點,"No.4, Aly. 30, Lane 198, Siwei Rd., Da'an Dist., Taipei City, Taiwan (R.O.C.)"
