title,address,tel,avaliable,remark,twd97X,twd97Y,wgs84aX,wgs84aY
新北市私立寶貝媽咪托嬰中心,新北市板橋區莊敬路46號2樓,82529955,90,,297696.69,2768902.08,121.472626809278,25.0274579217759
新北市私立卡爾威特托嬰中心,新北市板橋區板新路101號1樓、107號2樓,89518905,140,,297713.66,2767424.19,121.472743870936,25.0141149285452
新北市私立僾家寶托嬰中心,新北市板橋區裕民街122號2樓,82595600,20,,296340.08,2768910.73,121.459184790012,25.0275781110774
新北市私立捧馨園托嬰中心,新北市板橋區四川路1段151號,29563008,25,,296433.28,2766327.39,121.460021425451,25.0042527242484
新北市私立喜閱寶寶托嬰中心,新北市板橋區廣和街61號1.2樓,89516588,30,,296698.15,2765085.42,121.462603499667,24.9930318926334
新北市私立卡爾威特托嬰中心亞東園,新北市板橋區南雅南路2段144巷66號,89664098,32,,295459.33,2765350.3,121.450340420224,24.9954609628386
新北市私立稚暉托嬰中心,新北市板橋區貴興路62號2樓之1,29592397,23,,296104.53,2766221.57,121.456760987446,25.0033073808209
新北市私立快樂森林托嬰中心,新北市板橋區忠孝路28號2樓、3樓,29633660,75,,296457.82,2766053.52,121.460255297529,25.0017793861278
新北市私立家家托嬰中心,新北市板橋區中山路二段365號2樓,89539059,34,,298420.95,2767992.68,121.479771391196,25.0192247831239
新北市私立愛唯兒托嬰中心,新北市板橋區三民路二段21巷10、12號1樓,29612999,29,,298437.09,2767873.96,121.479927135532,25.0181524759445
新北市私立吉的堡南雅托嬰中心,新北市板橋區南雅南路1段40號2樓,22711199,17,,296005.58,2766535.99,121.455791156187,25.0061489475252
新北市私立吉尼斯托嬰中心,新北市板橋區實踐路34號2樓之1,29583258,20,,296787.27,2766642.3,121.463539004527,25.0070848161253
新北市私立捧馨園二館托嬰中心,新北市板橋區四川路1段139號2樓,29551979,55,,296427.64,2766357.14,121.459966478256,25.0045214548127
新北市私立米綺托嬰中心,新北市板橋區中山路二段113號3樓之1,29554466,28,,297916.4,2767670.01,121.474761138925,25.0163277452461
新北市私立陽光貝兒托嬰中心,新北市板橋區區運路101號1樓,89520855,42,,297287.28,2767149.74,121.468510044508,25.011650514531
新北市私立皇家貴族托嬰中心,新北市板橋區金門街215巷6、8號1樓,26872222,32,,293707.5,2764693.44,121.432965602456,24.9895822568683
新北市私立小荳芽托嬰中心,新北市板橋區四川路二段53號2樓,89668666,43,,295805.79,2765323.86,121.453771638961,24.9952118434713
新北市私立文心坊托嬰中心,新北市板橋區中正路191號2樓,29671498,30,,296059.6,2767738.21,121.456366504902,25.0170010440849
新北市私立小小世界托嬰中心,新北市板橋區長江路2段181號1樓,22551313,42,,297100.73,2769418.39,121.466739297441,25.0321378389394
新北市私立卡爾斯登托嬰中心,新北市板橋區莊敬路42之4號3樓,22511767,55,,297722.88,2768916.9,121.472886869523,25.0275908638584
新北市私立向陽托嬰中心,新北市板橋區雙十路3段10巷1弄8號3樓,22571009,40,,297630.42,2769331.36,121.471985045556,25.0313355737724
新北市私立育圃托嬰中心,新北市中和區中和路332號3樓之2,86606655,40,,301482.95,2766022.06,121.510036381536,25.0013330625492
新北市私立好寶貝托嬰中心,新北市中和區復興路262號2樓,22451316,41,,300830.89,2764806.26,121.503531932276,24.9903787628864
新北市私立麥迪兒托嬰中心,新北市中和區中山路3段39號2樓之1,22219500,30,,298211.11,2766442.01,121.477638133684,25.0052319336569
新北市私立寶貝媽咪中和托嬰中心,新北市中和區中山路2段299號1樓,22471222,100,,299999.21,2766103.89,121.495340551006,25.0021214574006
新北市私立小森堡托嬰中心,新北市中和區宜安路29號1、2樓,29496007,40,,301751.37,2765433.67,121.512673428239,24.9960118726995
新北市私立泡泡龍托嬰中心,新北市中和區復興路57號1、2樓,29406245,20,,300915.67,2764769.77,121.50437042373,24.9900464735782
新北市私立小博士托嬰中心,新北市中和區中正路792號、800號2樓之3,22287342、22287666,40,,298978.84,2766006.49,121.485228560442,25.0012754349927
新北市私立樂樂托嬰中心,新北市中和區中正路839巷1、3號1-2樓,22232433,35,,298903.43,2766145.01,121.484486443019,25.0025284334673
新北市私立日光托嬰中心,新北市中和區中正路78號(第1層、第2層部分),22462564,35,,300523.14,2765186.54,121.500497394617,24.9938221938425
新北市私立成真貝爾托嬰中心,新北市中和區中正路277號2樓,22457677,105,,300003.2,2765168.56,121.495346173031,24.993677107767
新北市私立育圃小寶貝托嬰中心,新北市中和區中和路310號及310號2樓,86602345,55,,301390.61,2765899.56,121.509117054284,25.0002302443378
新北市私立愛樂分托嬰中心,新北市中和區壽德街17號1樓,29593778,38,,297014.8,2765361.47,121.465749585963,24.995514357698
新北市私立伯利恆托嬰中心,新北市中和區光華街14號1、2樓,22422239,33,,300885.05,2766328.4,121.504124518146,25.0041188823404
新北市私立淯薪托嬰中心,新北市永和區秀朗路2段94號、96號1樓,32334373,32,,302842.2,2766054.59,121.523503108053,25.0015799054094
天主教耕莘醫療財團法人附設新北市私立永和耕莘托嬰中心,新北市永和區國光路116巷17號1樓,29238352,25,,302320.51,2767179.68,121.518377586138,25.011755388682
新北市私立童話世界托嬰中心,新北市永和區安樂路140號2樓,29415210,33,,301910.18,2765909.39,121.514264500348,25.0003012447031
新北市私立愛德莉托嬰中心,新北市永和區中正路544號1、2樓,29236391,35,,302213.78,2766469.96,121.517293309225,25.0053516871231
新北市私立熊堡托嬰中心,新北市永和區保福路2段16巷2號1樓,29265299,17,,301595.31,2767127.45,121.511190818761,25.0113087119738
新北市私立畝心屋托嬰中心,新北市永和區秀朗路2段235號及成功路2段56號2樓之5,29282792,25,,303138.69,2765876.49,121.5264334534,24.9999616440271
新北市私立童話世界貝兒托嬰中心,新北市永和區得和路241號2樓,29234200,25,,302524.72,2765903.22,121.520352261011,25.0002244116534
新北市私立小寶貝托嬰中心,新北市永和區永平路51號3樓及51號3樓之1,32335797,52,,301753.05,2766824.18,121.512742170398,25.0085653557899
